feature_id	R1_N_1	R1_N_2	R1_N_3	R1_R_1	R1_R_2	R1_R_3	R1_U_1	R1_U_2	R1_U_3	U1_R_1	U1_R_2	U1_R_3	U1_U_1	U1_U_2	U1_U_3	U4_R_1	U4_R_2	U4_R_3	U4_U_1	U4_U_2	U4_U_3	U6_R_1	U6_R_2	U6_R_3	U6_U_1	U6_U_2	U6_U_3
ENSG00000223972.5	0	0	0	0	0	0	0	0	0.0675576234603967	0	0	0	0.0949876380305949	0	0	0	0	0	0	0.0647646609969158	0	0	0	0	0	0	0
ENSG00000227232.5	20.3501699483636	19.9954554941085	21.2079833810926	16.1717586452073	11.9225581461981	12.710966490226	15.7443342497487	14.5009462361042	14.7491643520681	11.168519386926	14.6172097548482	11.36192831743	12.5645935264674	8.97538700879812	9.59914243080348	18.2249063333506	10.9241503695799	15.6801492789485	20.457341863771	16.8841135650768	17.0926013282752	12.9551150441722	9.11169425281365	10.5786638000149	12.6880318740702	6.16500057374025	8.47082327317417
ENSG00000278267.1	0	22.3181265470428	10.0322078248796	38.6899489053377	15.8975286769775	11.1005272968942	22.7869644804748	17.1999810052474	29.3031191759471	13.4480122029741	7.39896979348068	5.29065894652385	12.1179082340502	0	5.77916284492669	11.8995401266567	28.6368480225435	11.0695111772929	16.3301483535709	14.8720614921594	37.9541508214097	4.02168208287607	13.0638709140174	10.1044787852235	8.06660285264418	12.4560056457474	6.47289719573434
ENSG00000243485.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42128264169913	0	0	0	0	0	0	0	0	0
ENSG00000284332.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009.6	0.0431503605142923	0.122192641320363	0.0732356556190889	0.0613997182095956	0	0.0253232640965112	0	0.0392377451810529	0	0	0	0	0	0.0451994537219175	0.0703136649588504	0.0930720874870783	0.082519945145053	0.173160055223354	0.0331141554256223	0	0	0	0	0	0	0	0.0393770808114095
ENSG00000239945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750.3	0.337414991135893	0.318495824805647	0.536875759778446	0.120029039899766	0.113434622249158	0.123759813777021	0.406483101960201	0.0383525284744499	0.0614965774941177	0.0599727721538721	0.13198582003061	0.283130751597814	0.259396986332238	0.132539216606399	0	0.545834099648773	0.134430445789816	0.16925350623353	0.064734177920183	0.206339666266407	0.285070111653599	0.107610590884932	0	0	0	0	0
ENSG00000268903.1	17.0361052478149	24.9253566946576	22.0469393682652	19.6958910638172	13.6023887752682	14.871766040806	22.5756946111194	16.2659423016512	13.5066032758008	13.9289344936765	18.492524503706	17.7896947182012	12.2238396172882	16.506720765592	18.7382657541464	44.5540397400726	42.0818930857594	44.8645088775052	41.8359415068376	24.8546181464257	23.7487945467392	0.181108862010313	0.168087648467963	0	0.363264234423711	0.186977568192234	0.3886596108697
ENSG00000269981.1	61.1410220909695	33.1314160289903	49.9632209419356	19.7359016767583	10.2774164263841	29.9010682469158	48.6083006715378	33.4612306528141	34.2557590366705	26.5645593164384	39.4177510476629	25.7578090495081	43.5220647842646	22.5341558224608	23.0623869398483	31.7480688288669	42.5837784530929	28.7762745293008	43.0103907340529	36.4004760152384	38.741931564923	2.40734490876385	0.446852727441239	1.45162934660957	0.965720059823599	0	0
ENSG00000239906.1	0	5.6382635487266	2.53445250312748	2.12484845246706	1.33873925700863	1.16847655756781	1.30834245820908	1.35789323725638	1.08866077433859	2.12337034783802	1.94709731407386	0	2.55113857558951	2.6070149313911	2.43333172417966	1.43152362425946	5.71150431474553	5.99251732906084	0	3.13096031413883	4.20544607439442	0	0	0	0	0	0
ENSG00000241860.6	0.23357614035291	0.0979908058239813	0.39643010097345	0.221574188909398	0.104700430996075	0.167538224739243	0.090953912079964	0	0.113522979858391	0.0369033426070315	0.020303871911085	0	0.0532053436587836	0.135926686495452	0.169161398312624	0.298551819619568	0.215071353399843	0.069431731585926	0.0199166009872266	0.145106294533849	0.197340302474005	0.110360928827915	0.0409705164143057	0.0887302091874346	0	0	0
ENSG00000222623.1	0	0	0	2.19976298123993	0	0	0	0	1.12704304522873	0	3.62834095641841	1.15309233449879	0	3.23871470322817	2.51912226573728	0	0	1.03396532974714	0	1.08044891182355	0	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
